Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,city,state,country,types
Porter - Baltic,Les Trois Mousquetaires,Les Trois Mousquetaires Les Trois Mousquetaires Porter Baltique,"Notes:Robust dark lager inspired by Porters from around the Baltic Sea region. This beer is luxuriously round with a mild bitterness. The malts contribute flavors of coffee, chocolate, and vanilla. The use of cherry-wood smoked malt provides a subtle hint of smoke.\t",10.0,25,45,8,118,21,76,120,17,0,59,49,48,155,4.204225,4.211268,4.140845,4.338028,4.190141,Brossard,QC,CA,"Brewery, Beer-to-go"
Altbier,Driftwood Brewery,Driftwood Brewery Crooked Coast Amber Ale,"Notes:Inspired by the original Alt-style beer of Dusseldorf, Crooked Coast brings together the aromas of German noble hops and Munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast.\t",5.1,25,50,20,36,7,76,47,39,2,40,100,8,76,3.972222,4.194444,3.833333,4.055556,4.083333,Victoria,BC,CA,Brewery
Bitter - English Extra Special / Strong Bitter (ESB),Driftwood Brewery,Driftwood Brewery Naughty Hildegard ESB,"Notes:Brewed to honor Hildegard Von Bingen, a 12th century Benedictine nun who allegedly was the first to record the use of hops as an ingredient in beer. While this is open to debate, we like Hildegard's style and we can't imagine a beer without hops. This extra special bitter has lots of hops- Hildegard would be proud. We are! Cheers Hildy!\t",6.5,20,40,9,48,11,97,55,49,0,65,129,6,89,4.25,4.285714,4.107143,4.142857,4.142857,Victoria,BC,CA,Brewery
Altbier,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Gravel Road,Notes:,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.795455,3.522727,3.636364,Fort Worth,TX,US,"Brewery, Bar"
Bock - Maibock,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Bucking Bock,Notes:,7.5,20,38,20,24,21,49,37,30,0,29,58,12,65,3.333333,3.396825,3.420635,3.47619,3.587302,Fort Worth,TX,US,"Brewery, Bar"
Bock - Weizenbock,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Angry Goat,Notes:,8.0,15,35,6,45,20,24,60,18,0,27,14,12,57,3.916667,3.75,3.916667,4.0,3.916667,Fort Worth,TX,US,"Brewery, Bar"
Lager - American Amber / Red,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Rahr's Red Amber Lager,Notes:,4.5,18,30,14,28,5,41,38,5,0,10,56,8,81,3.310345,3.586207,3.387931,3.318966,3.612069,Fort Worth,TX,US,"Brewery, Bar"
Lager - Helles,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Rahr's Blonde,"Notes:Rahr's Blonde Lager was the first beer to come out of Rahr & Sons Brewing Company. It is a medium-bodied traditional Munich-style Helles Lager that features a rounded maltiness without being too heavy. And like every proud Texan, it has a good head, is pleasant – but not overly sweet. Have some fun with a blonde today!\t",5.0,18,25,23,15,6,18,18,18,1,14,26,4,40,4.25,3.75,3.5,3.5,3.75,Fort Worth,TX,US,"Brewery, Bar"
Lager - Helles,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Blonde Lager,Notes:,4.8,18,25,32,28,8,33,34,13,3,6,55,6,85,3.190789,3.519737,3.414474,3.460526,3.572368,Fort Worth,TX,US,"Brewery, Bar"
Lager - Schwarzbier,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Ugly Pug Black Lager,Notes:,4.5,20,30,14,53,4,40,55,2,1,1,26,8,75,3.53125,3.767361,3.493056,3.607639,3.725694,Fort Worth,TX,US,"Brewery, Bar"
Pilsner - Imperial,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Pecker Wrecker,Notes:,7.0,30,65,16,48,24,87,63,26,7,28,118,8,103,3.386364,3.818182,3.659091,3.477273,3.477273,Fort Worth,TX,US,"Brewery, Bar"
Scotch Ale / Wee Heavy,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Iron Thistle,"Notes:SCOTTISH STYLE ALEAvailable : February ReleaseBreak out the bagpipes with your lederhosen! We’re proud to present our Iron Thistle Scotch Ale – Rahr’s first National Grand Champion winner. This dark, Scottish ale has a bold taste dominated by a smooth, sweet maltiness balanced with a low, hoppy bitterness. So don your kilts and enjoy. Here’s to your health – Slàinte! Prosit!IBU35HOP VARIETIESWarriorMALTS2 Row, Vienna, Crystal, Chocolate, Carafa Special II",7.0,25,35,14,67,41,64,97,18,2,36,59,23,126,3.797297,3.743243,3.797297,3.932432,3.986486,Fort Worth,TX,US,"Brewery, Bar"
Winter Warmer,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Bourbon Barrel Aged Winter Warmer,"Notes:November Release - English dark ale aged in bourbon barrels - fresh American oak - dark malts - English hops - sweet, smooth vanilla & oak finish\t",11.0,35,50,8,69,92,35,81,24,0,34,32,55,129,4.063492,4.02381,4.007937,4.190476,4.134921,Fort Worth,TX,US,"Brewery, Bar"
Winter Warmer,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Winter Warmer,Notes:,8.5,35,50,9,67,31,46,67,11,0,24,24,28,100,3.603896,3.727273,3.597403,3.766234,3.876623,Fort Worth,TX,US,"Brewery, Bar"
Altbier,Grimm Brothers Brewhouse,Grimm Brothers Brewhouse Little Red Cap,"Notes:Altbier is German for “Old Beer”, this refers to the “old” style of brewing using an ale yeast (As opposed to a lager yeast fermentation which is a relatively new process). This beer originated in the Westphalia region of Germany in a town named Dusseldorf. Due to the cool climate of Dusseldorf, Altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts. This cool fermentation produces subtle yeast derived esters and leaves a clean malty beer. In addition to this cool clean fermentation, altbiers are then lagered at cold temperatures to help smooth and refine the beer. The result of this is a very clean and hoppy red ale.Coming in at 6.2% ABV and IBUs Little Red Cap is an easy drinking hop forward beer worthy of its heritage. We use a bit of Cascade hop to give it an “American Twist” while maintaining its German heritage. This beer won a Gold Medal at the 2011 and 2016 GABF and a Bronze at the 2012 GABF. It also won a Silver Award at the 2016 World beer cup.",5.2,25,50,27,39,18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.833333,3.666667,4.0,Loveland,CO,US,"Brewery, Bar, Beer-to-go"
Lager - Munich Dunkel,Grimm Brothers Brewhouse,Grimm Brothers Brewhouse Fearless Youth,"Notes:Once upon a time in the land of Bavaria, a darkness fell upon the beer in the town of Munich. But have no fear – this darkness was born of a toasted malt that produces a bready chocolate flavor. This full-bodied brew is now known as a Munich Dunkel. Our dunkel is made with just enough hoppy bitterness to scare away any overt sweetness. Then it is carefully lagered to produce a cleaness that no one will shudder at.\t",5.2,15,25,21,52,8,37,95,18,0,32,39,6,129,4.333333,4.5,4.0,4.5,4.5,Loveland,CO,US,"Brewery, Bar, Beer-to-go"
Altbier,Beau's All Natural Brewing Company,Beau's All Natural Brewing Company Festivale,"Notes:Festivale is an amber ale, with balanced high-intensity maltiness and hop presence. Caramunich malts give Festivale its colour and a rich caramel sweetness. Festivale bucks the trend of pale summer beers, offering up amber hues and tastiness for a unique result that is both quaffable and refreshing.40 IBU\t",4.7,25,50,29,30,9,72,77,20,0,20,104,10,141,3.613636,3.886364,3.727273,3.636364,3.681818,Vankleek Hill,ON,CA,"Brewery, Bar, Beer-to-go"
Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,Beau's All Natural Brewing Company Bogwater,"Notes:Malty, with a plum-like fruitiness that is offset by spicy, earthy bitterness.\t",6.6,0,0,15,37,22,36,106,53,0,69,98,51,67,3.775,3.475,3.35,3.675,3.575,Vankleek Hill,ON,CA,"Brewery, Bar, Beer-to-go"
Kölsch,Beau's All Natural Brewing Company,Beau's All Natural Brewing Company Lug Tread Lagered Ale,"Notes:Golden-hued, crisp and finely balanced, Lug Tread is our tribute to the classic beer of Cologne, Germany. Lug Tread is top fermented (like an ale) and then cold aged (like a lager) for a lengthy period. This gives our beer some light ale notes complemented by a lager-like crispness. Lug Tread displays interwoven malt and hop flavours, subtle fruit flavours and a crisp, lingering finish.\t",5.2,18,25,39,24,2,21,25,19,4,19,37,0,56,3.591667,3.675,3.808333,3.733333,3.925,Vankleek Hill,ON,CA,"Brewery, Bar, Beer-to-go"
Altbier,Buzzards Bay Brewing,Buzzards Bay Brewing Moby D,Notes:,5.0,25,50,26,37,14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.636364,3.681818,3.909091,Westport,MA,US,"Brewery, Bar, Beer-to-go"
Altbier,Rush River Brewing Company,Rush River Brewing Company Über Alt,"Notes:Our Alt is a much stronger version of the traditional Dusseldorf Altbiers. An ancient style from the Rhineland, Altbiers are ales that were virtually wiped out by German lagers in the 1800’s. We use plenty of European hops and German pilsner malts to brew a remarkably clean beer. We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt’s trademark.\t",8.5,25,50,32,64,28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.266667,4.166667,River Falls,WI,US,"Brewery, Bar"
Altbier,Brauerei Im Füchschen,Brauerei Im Füchschen Im Füchschen Alt,Notes:,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.261905,4.214286,4.452381,Düsseldorf,,DE,"Brewery, Bar, Eatery, Beer-to-go"
Altbier,O'Fallon Brewery,O'Fallon Brewery Sticke It To The Man,Notes:,7.5,25,50,18,55,50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.515152,3.333333,3.287879,Maryland Heights,MO,US,"Brewery, Bar, Eatery, Beer-to-go"
Porter - Smoked,O'Fallon Brewery,O'Fallon Brewery Smoke (Smoked Porter),"Notes:Dark, rich and smoky…this classic porter is brewed with 63% German smoked malt and makes a perfect after dinner (or anytime) sipper for those who love a “bigger” beer. Winner of the Gold Medal in the 2004 Great American Beer Festival® for best Smoked Beer in America!24 IBU\t",6.0,20,40,6,54,7,18,38,4,0,3,11,88,70,3.916418,3.80597,3.716418,3.889552,3.825373,Maryland Heights,MO,US,"Brewery, Bar, Eatery, Beer-to-go"
Pumpkin Beer,O'Fallon Brewery,O'Fallon Brewery Pumpkin Ale,"Notes:Like pumpkin pie in a bottle...we add 136 pounds of real pumpkin to the three-barley mash and then season the finished beer with cinnamon, nutmeg and cloves.11 IBU\t",5.6,5,70,5,32,4,4,26,10,0,95,3,74,49,3.633663,3.554455,3.5,3.655941,3.693069,Maryland Heights,MO,US,"Brewery, Bar, Eatery, Beer-to-go"
Altbier,Blue Mountain Brewery,Blue Mountain Brewery Evan Altmighty,"Notes:34 IBUPilsner, CaraPils and Vienna MaltsHallertau Mittelfruh HopsAle YeastDeep Well Water\t",6.6,25,50,21,39,7,40,62,34,0,47,65,5,80,4.0,3.9,3.9,4.0,4.1,Afton,VA,US,"Brewery, Bar, Eatery, Beer-to-go"
Bitter - English Extra Special / Strong Bitter (ESB),Blue Mountain Brewery,Blue Mountain Brewery Steel Wheels ESB,Notes:,6.5,20,40,23,40,21,58,96,33,0,42,74,13,106,3.5,4.5,4.5,4.0,4.0,Afton,VA,US,"Brewery, Bar, Eatery, Beer-to-go"
Bock - Weizenbock,Blue Mountain Brewery,Blue Mountain Brewery Summer Haze Pale Weizenbock,Notes:,7.8,15,35,10,15,11,24,21,31,0,40,30,11,21,3.833333,4.166667,4.0,4.5,4.5,Afton,VA,US,"Brewery, Bar, Eatery, Beer-to-go"
Dubbel,Blue Mountain Brewery,Blue Mountain Brewery Evil 8° Belgian-Style Dubbel Ale,Notes:,7.7,15,30,5,54,24,23,136,37,1,70,20,49,68,3.782609,4.0,3.836957,3.728261,3.76087,Afton,VA,US,"Brewery, Bar, Eatery, Beer-to-go"
Kölsch,Blue Mountain Brewery,Blue Mountain Brewery Kölsch 151,Notes:,5.0,18,25,27,25,4,34,20,16,4,23,47,5,39,3.5,3.8125,3.875,3.84375,4.125,Afton,VA,US,"Brewery, Bar, Eatery, Beer-to-go"
Old Ale,Blue Mountain Brewery,Blue Mountain Brewery Lights Out Holiday Ale,Notes:,7.0,30,65,11,43,22,37,82,23,0,26,36,22,101,3.5,3.729167,3.5625,3.604167,3.666667,Afton,VA,US,"Brewery, Bar, Eatery, Beer-to-go"
Pilsner - Imperial,Blue Mountain Brewery,Blue Mountain Brewery überPils,Notes:,7.6,30,65,25,48,31,35,61,30,6,44,59,15,74,3.5,3.928571,3.928571,4.0,3.857143,Afton,VA,US,"Brewery, Bar, Eatery, Beer-to-go"
Altbier,COAST Brewing Company,COAST Brewing Company ALTerior Motive,"Notes:Our altbier is crafted after the authentic, or sticke, style that originated in Germany. It is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.\t",6.3,25,50,27,61,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.25,4.46875,North Charleston,SC,US,"Brewery, Bar, Beer-to-go"
Kölsch,COAST Brewing Company,COAST Brewing Company 32/50,Notes:Our take on a kolsch style ale that is soft on the palate with a delicate malt flavor. Balanced with a touch of wheat and honey notes .Dry and wine like with a flowery hop finish.\t,4.8,18,25,30,39,3,32,46,34,3,41,61,9,91,4.016484,4.076923,4.126374,4.241758,4.516484,North Charleston,SC,US,"Brewery, Bar, Beer-to-go"
Porter - Smoked,COAST Brewing Company,"COAST Brewing Company Porter, Smoked","Notes:We took a classic Ameican Porter and brewed it with 40% Briess cherry wood smoked malt. Lower in alcohol to allow the maltiness through. Black in color, medium body, soft hops and intensely smoky.\t",5.8,20,40,12,93,9,35,48,3,0,7,17,101,102,4.25,4.4,4.1,4.225,4.075,North Charleston,SC,US,"Brewery, Bar, Beer-to-go"
Stout - Foreign / Export,COAST Brewing Company,COAST Brewing Company Bulls Bay Oyster Stout,"Notes:Brewed with local oysters from Jeff Spahr at localoysters.com! Smooth and Roasty, briny (minerally and salty!??) that can only be attributed to the oysters.\t",5.8,30,70,10,79,8,35,45,3,18,4,16,8,90,4.111111,4.222222,4.388889,4.333333,4.444444,North Charleston,SC,US,"Brewery, Bar, Beer-to-go"
Barleywine - American,Great Divide Brewing Company,Great Divide Brewing Company Old Ruffian Barley Wine,"Notes:Old Ruffian is a hefty, hop-forward barley wine. Seemingly mellow at the start with subtle fruit aromas and complex caramel sweetness, it quickly becomes aggressive with its bold hop flavors and huge hop bitterness. Ultimately, the big body, succulent sweetness and massive hop character come together to work wonders on your palate.\t",10.2,60,100,6,55,31,107,97,27,1,57,120,14,119,4.238552,4.318956,4.231629,4.285942,4.071885,Denver,CO,US,"Brewery, Bar, Eatery"
Barleywine - American,Great Divide Brewing Company,Great Divide Brewing Company Barrel Aged Old Ruffian,Notes:,12.7,60,100,18,67,94,43,134,34,0,57,53,32,132,4.160714,3.845238,3.952381,4.136905,3.97619,Denver,CO,US,"Brewery, Bar, Eatery"
Blonde Ale - American,Great Divide Brewing Company,Great Divide Brewing Company Samurai Ale,"Notes:Samurai is the perfect beer for your zen garden after battle, or your patio after a long day of work. The addition of rice gives a slightly fruity, crisp, refreshing element to this hazy unfiltered ale, creating a light, easy-going beer suitable for the peaceful warrior. This may be your first Samurai, but it certainly won’t be your last.\t",5.1,15,25,36,31,6,43,47,58,3,50,71,4,107,3.303077,3.578462,3.575385,3.430769,3.696923,Denver,CO,US,"Brewery, Bar, Eatery"
Farmhouse Ale - Saison,Great Divide Brewing Company,Great Divide Brewing Company Colette Farmhouse Ale,"Notes:Colette is our homage to the saisons that Belgian farm workers have enjoyed for centuries. Brewed with barley, wheat and rice and fermented at high temperatures with a special blend of four different yeast strains, Colette is fruity and slightly tart, with a dry finish that makes it that rarest of treats — a beer as refreshing as it is complex.2010 Great American Beer Festival, Silver Medal, French & Belgian-Style Saison2010 Silver Australian International Beer Awards2011 Australian International Beer Awards, Bronze Medal, Belgian and French Style Ale\t",6.5,20,38,18,34,15,15,32,62,0,51,29,44,32,3.78839,3.808989,3.782772,3.790262,3.868914,Denver,CO,US,"Brewery, Bar, Eatery"
IPA - American,Great Divide Brewing Company,Great Divide Brewing Company Titan IPA,"Notes:Titan IPA is a big, aggressively hopped India Pale Ale brewed for hop disciples. It starts out with piney hop aromas and citrus hop flavors, and finishes with a nice rich, malty sweetness that is balanced with crisp hop bitterness.2007 European Beer Star, Nuremberg, Silver Medal, IPA2007 Australian International Beer Awards, Silver Medal, IPA2008 Australian International Beer Awards, Silver Medal, IPAFOOD PAIRINGS: Grilled lamb burger, Thai green curry, roasted zucchini & pesto, Cabot sharp cheddar, carrot cake.\t",7.1,50,70,20,46,9,78,46,54,0,69,105,6,61,4.063386,4.114961,4.052756,4.158268,4.142126,Denver,CO,US,"Brewery, Bar, Eatery"
IPA - Imperial,Great Divide Brewing Company,Great Divide Brewing Company Hercules Double IPA,"Notes:Hercules Double IPA is not for the faint of heart. It is, however, fit for the gods. Hercules delivers a huge amount of hops from start to finish. Its hefty backbone of nutty, malty sweetness balances its aggressive hop profile.2007 Australian International Beer Awards, Gold Medal, Imperial IPA2008 Australian International Beer Awards, Silver Medal, Imperial IPA2009 Australian International Beer Awards, Silver Medal, Imperial IPA2010 BeerAdvocate “Top 100 Beers On Planet Earth,” #48\t",10.0,65,100,15,43,24,84,61,59,0,91,119,14,93,4.156386,4.187228,4.134978,4.196662,4.055878,Denver,CO,US,"Brewery, Bar, Eatery"
